Publication Type;Authors;Book Authors;Book Editors;Book Group Authors;Author Full Names;Book Author Full Names;Group Authors;Article Title;Source Title;Book Series Title;Book Series Subtitle;Language;Document Type;Conference Title;Conference Date;Conference Location;Conference Sponsor;Conference Host;Author Keywords;Keywords Plus;Abstract;Addresses;Affiliations;Reprint Addresses;Email Addresses;Researcher Ids;ORCIDs;Funding Orgs;Funding Name Preferred;Funding Text;Cited References;Cited Reference Count;Times Cited, WoS Core;Times Cited, All Databases;180 Day Usage Count;Since 2013 Usage Count;Publisher;Publisher City;Publisher Address;ISSN;eISSN;ISBN;Journal Abbreviation;Journal ISO Abbreviation;Publication Date;Publication Year;Volume;Issue;Part Number;Supplement;Special Issue;Meeting Abstract;Start Page;End Page;Article Number;DOI;DOI Link;Book DOI;Early Access Date;Number of Pages;WoS Categories;Web of Science Index;Research Areas;IDS Number;Pubmed Id;Open Access Designations;Highly Cited Status;Hot Paper Status;Date of Export;UT (Unique WOS ID);Web of Science Record
C;"Bachrach, Y; Toledo, E; Hambardzumyan, K; Magka, D; Josifoski, M; Jiang, MQ; Foerster, J; Raileanu, R; Shavrina, T; Cancedda, N; Ruderman, A; Millican, K; Lupu, A; Hazra, R";;Kwok, J;;"Bachrach, Yoram; Toledo, Edan; Hambardzumyan, Karen; Magka, Despoina; Josifoski, Martin; Jiang, Minqi; Foerster, Jakob; Raileanu, Roberta; Shavrina, Tatiana; Cancedda, Nicola; Ruderman, Avraham; Millican, Katie; Lupu, Andrei; Hazra, Rishi";;;Combining Code Generating Large Language Models and Self-Play to Iteratively Refine Strategies in Games;PROCEEDINGS OF THE THIRTY-FOURTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI 2025);;;English;Proceedings Paper;34th International Joint Conference on Artificial Intelligence-IJCAI;AUG 16-22, 2025;Montreal, CANADA;;;;"CHECKERS; LEVEL";We propose a self-play approach to generating strategies for playing in multi-player games, where strategies are represented as computer code. We use large language models (LLMs) to generate pieces of code to play in the game, which we refer to as generated bots. We engage the LLM generated bots in competitions, designed to generate increasingly stronger strategies. We follow game theoretic principles in organizing these tournaments, and use a Policy Space Response Oracle (PSRO) approach. We start with an initial set of LLM generated bots, and continue in rounds for adding new bots into the population. Each round adds a bot to the population by asking the LLM to produce code for playing against a bot representing the Nash equilibrium mixture over the current population. Our analysis shows that even a few rounds are sufficient to produces strong bots for playing the game. Our demo shows the process for the game of Checkers. We allow users to select initial bots in the population, run the process, inspect how the bots evolve over time, and play against the generated bots.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;10999;11003;;;;;;5;;;Computer Science;;;;;;;WOS:001634925300605;View Full Record in Web of Science
C;"Suzuki, R; Arita, T";;;IEEE;"Suzuki, Reiji; Arita, Takaya";;;Evolutionary ecology of words;2025 IEEE SYMPOSIUM ON COMPUTATIONAL INTELLIGENCE IN ARTIFICIAL LIFE AND COOPERATIVE INTELLIGENT SYSTEMS, ALIFE-CIS;;;English;Proceedings Paper;2025 Symposium on Computational Intelligence in Artificial Life and Cooperative Intelligent Systems-ALIFE-CIS;MAR 17-20, 2025;Trondheim, NORWAY;;;"large language models; agent-based models; evolutionary game theory; artificial life";;We propose a model for the evolutionary ecology of words as one attempt to extend evolutionary game theory and agent-based models by utilizing the rich linguistic expressions of Large Language Models (LLMs). Our model enables the emergence and evolution of diverse and infinite options for interactions among agents. Within the population, each agent possesses a short word (or phrase) generated by an LLM and moves within a spatial environment. When agents become adjacent, the outcome of their interaction is determined by the LLM based on the relationship between their words, with the loser's word being replaced by the winner's. Word mutations, also based on LLM outputs, may occur. We conducted preliminary experiments assuming that strong animal species would survive. The results showed that from an initial population consisting of well-known species, many species emerged both gradually and in a punctuated equilibrium manner. Each trial demonstrated the unique evolution of diverse populations, with one type of large species becoming dominant, such as terrestrial animals, marine life, or extinct species, which were ecologically specialized and adapted ones across diverse extreme habitats. We also conducted a long-term experiment with a large population, demonstrating the emergence and coexistence of diverse species.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;;;;10.1109/ALIFE-CIS64968.2025.10979831;http://dx.doi.org/10.1109/ALIFE-CIS64968.2025.10979831;;;7;;;Computer Science;;;Green Submitted;;;;WOS:001511632400003;View Full Record in Web of Science
C;"Yim, YW; Chan, CK; Shi, TY; Deng, ZY; Fan, W; Zheng, TS; Song, YQ";;;IEEE COMPUTER SOC;"Yim, Yauwai; Chan, Chunkit; Shi, Tianyu; Deng, Zheye; Fan, Wei; Zheng, Tianshi; Song, Yangqiu";;;Evaluating and Enhancing LLMs Agent based on Theory of Mind in Guandan: A Multi-Player Cooperative Game under Imperfect Information;2024 IEEE/WIC INTERNATIONAL CONFERENCE ON WEB INTELLIGENCE AND INTELLIGENT AGENT TECHNOLOGY, WI-IAT;;;English;Proceedings Paper;2024 International Conference on Web Intelligence and Intelligent Agent Technology-WI-IAT;DEC 09-12, 2024;THAILAND;;;"LLM Agent; Multi-agent Collaboration; Theory of Mind";;Large language models (LLMs) have shown success in handling simple games with imperfect information and enabling multi-agent coordination, but their ability to facilitate practical collaboration against other agents in complex, imperfect information environments, especially in a non-English environment, still needs to be explored. This study investigates the applicability of knowledge acquired by open-source and API-based LLMs to sophisticated text-based games requiring agent collaboration under imperfect information, comparing their performance to established baselines using other types of agents. We propose a Theory of Mind (ToM) planning technique that allows LLM agents to adapt their strategy against various adversaries using only game rules, current state, and historical context as input. An external tool was incorporated to mitigate the challenge of dynamic and extensive action spaces in this card game. Our results show that although a performance gap exists between current LLMs and state-of-the-art reinforcement learning (RL) models, LLMs demonstrate ToM capabilities in this game setting. It consistently improves their performance against opposing agents, suggesting their ability to understand the actions of allies and adversaries and establish collaboration with allies. To encourage further research and understanding, we have made our codebase openly accessible.;;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;461;465;;10.1109/WI-IAT62293.2024.00074;http://dx.doi.org/10.1109/WI-IAT62293.2024.00074;;;5;;;"Computer Science; Engineering; Telecommunications";;;;;;;WOS:001517268400066;View Full Record in Web of Science
J;"Sadoune, I; Joanis, M; Lodi, A";;;;"Sadoune, Igor; Joanis, Marcelin; Lodi, Andrea";;;Implementing a Hierarchical Deep Learning Approach for Simulating Multilevel Auction Data;COMPUTATIONAL ECONOMICS;;;English;Article;;;;;;"Simulation crafting; Discrete deep generative modeling; Multilevel discrete data; Auction data";MODEL;We present a deep learning solution to address the challenges of simulating realistic synthetic first-price sealed-bid auction data. The complexities encountered in this type of auction data include high-cardinality discrete feature spaces and a multilevel structure arising from multiple bids associated with a single auction instance. Our methodology combines deep generative modeling (DGM) with an artificial learner that predicts the conditional bid distribution based on auction characteristics, contributing to advancements in simulation-based research. This approach lays the groundwork for creating realistic auction environments suitable for agent-based learning and modeling applications. Our contribution is twofold: we introduce a comprehensive methodology for simulating multilevel discrete auction data, and we underscore the potential of DGM as a powerful instrument for refining simulation techniques and fostering the development of economic models grounded in generative AI.;;;;;;;;;;;;;;;;;;;;;;;;APR;2025;65;4;;;;;2029;2056;;10.1007/s10614-024-10622-4;http://dx.doi.org/10.1007/s10614-024-10622-4;;MAY 2024;28;;;"Business & Economics; Mathematics";;;;;;;WOS:001226664900003;View Full Record in Web of Science
J;"Cohen, G; Aiche, A; Winer, Z";;;;"Cohen, Gil; Aiche, Avishay; Winer, Zvi";;;Matching angels to startups using AI;CHINA FINANCE REVIEW INTERNATIONAL;;;English;"Article; Early Access";;;;;;"Angel investing; Matching process; Artificial intelligence; Game theory; Predictive modeling; Decision-making; Entrepreneurship; Start-up ecosystem";INVESTMENT;PurposeThis paper introduces an innovative approach to analyzing the matching process between angel investors and start-up companies, utilizing a combination of artificial intelligence (AI) technologies and game-theoretic models. By harnessing the capabilities of AI engines such as Gemini and ChatGPT 4, we extract valuable insights from real-world data, identifying influential criteria that drive investment decisions on both sides of the equation.Design/methodology/approachLeveraging historical investment patterns and behaviors, Gemini identifies key criteria that angel investors prioritize when evaluating start-up opportunities. We then employ R programming simulation to evaluate the predictive quality of these criteria and optimize cutoff values using the Youden index, balancing sensitivity and specificity in the matching process.FindingsOur findings underscore the importance of integrating qualitative preferences and quantitative criteria in the matching process, offering a comprehensive framework for guiding strategic investment decisions in the entrepreneurial ecosystem. By comparing and contrasting the results obtained from different methodologies, we gain valuable insights into the complexities and dynamics of the investment landscape, paving the way for informed decision-making and strategic partnerships. Our research contributes to advancing the field of angel investing, offering practical insights and tools to support investors, entrepreneurs and stakeholders in navigating the dynamic and evolving landscape of early-stage investment.Originality/valueThis is the first attempt to utilize AI in the matching process between startups and angel investors.;;;;;;;;;;;;;;;;;;;;;;;;2025 MAY 9;2025;;;;;;;;;;10.1108/CFRI-04-2024-0222;http://dx.doi.org/10.1108/CFRI-04-2024-0222;;MAY 2025;17;;;Business & Economics;;;;;;;WOS:001483502900001;View Full Record in Web of Science
C;"Zhang, YD; Mao, SG; Ge, T; Wang, X; Xia, Y; Lan, M; Wei, FR";Ritter, A;"Chiruzzo, L; Wang, L";;"Zhang, Yadong; Mao, Shaoguang; Ge, Tao; Wang, Xun; Xia, Yan; Lan, Man; Wei, Furu";Ritter, A;;K-Level Reasoning: Establishing Higher Order Beliefs in Large Language Models for Strategic Reasoning;PROCEEDINGS OF THE 2025 CONFERENCE OF THE NATIONS OF THE AMERICAS CHAPTER OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: HUMAN LANGUAGE TECHNOLOGIES, VOL 1: LONG PAPERS;;;English;Proceedings Paper;2025 Conference of the North American Chapter of the Association for Computational Linguistics-NAACL;APR 29-MAY 04, 2025;MEXICO;;;;;Strategic reasoning is a complex yet essential capability for intelligent agents. It requires Large Language Model (LLM) agents to adapt their strategies dynamically in multi-agent environments. Unlike static reasoning tasks, success in these contexts depends on anticipating other agents' beliefs and actions while continuously adjusting strategies to achieve individual goals. LLMs and LLM agents often struggle with strategic reasoning due to the absence of a reasoning framework that enables them to dynamically infer others' perspectives and adapt to changing environments. Inspired by the Level-K framework 1 from game theory and behavioral economics, which extends reasoning from simple reactions to structured strategic depth, we propose a novel framework: K-Level Reasoning with Large Language Models (K-R). This framework employs recursive mechanisms to enable LLMs to achieve varying levels of strategic depth, allowing agents to form higher order beliefs-beliefs about others' beliefs. We validate this framework through rigorous testing on four testbeds: two classical game theory problems and two social intelligence tasks. The results demonstrate the advantages of K-R in strategic reasoning. Our work presents the first recursive implementation of strategic depth in large language models (LLMs). It establishes a foundation for future research into theory of mind and strategic reasoning in LLMs.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;7212;7234;;;;;;23;;;"Computer Science; Linguistics";;;;;;;WOS:001611654000051;View Full Record in Web of Science
J;"de Zarzà, I; de Curtò, J; Roig, G; Manzoni, P; Calafate, CT";;;;"de Zarza, I.; de Curto, J.; Roig, Gemma; Manzoni, Pietro; Calafate, Carlos T.";;;Emergent Cooperation and Strategy Adaptation in Multi-Agent Systems: An Extended Coevolutionary Theory with LLMs;ELECTRONICS;;;English;Article;;;;;;"multi-agent systems; human-computer interaction; large language models; cooperative games; game theory";ALGORITHM;The increasing complexity of Multi-Agent Systems (MASs), coupled with the emergence of Artificial Intelligence (AI) and Large Language Models (LLMs), have highlighted significant gaps in our understanding of the behavior and interactions of diverse entities within dynamic environments. Traditional game theory approaches have often been employed in this context, but their utility is limited by the static and homogenous nature of their models. With the transformative influence of AI and LLMs on business and society, a more dynamic and nuanced theoretical framework is necessary to guide the design and management of MASs. In response to this pressing need, we propose an Extended Coevolutionary (EC) Theory in this paper. This alternative framework incorporates key aspects of coevolutionary dynamics, adaptive learning, and LLM-based strategy recommendations to model and analyze the strategic interactions among heterogeneous agents in MASs. It goes beyond game theory by acknowledging and addressing the diverse interactions (economic transactions, social relationships, information exchange) and the variability in risk aversion, social preferences, and learning capabilities among entities. To validate the effectiveness of the EC framework, we developed a simulation environment that enabled us to explore the emergence of cooperation and defection patterns in MASs. The results demonstrated the potential of our framework to promote cooperative behavior and maintain robustness in the face of disruptions. The dynamics and evolution of the Multi-Agent System over time were also visualized using advanced techniques. Our findings underscore the potential of harnessing LLMs to facilitate cooperation, enhance social welfare, and promote resilient strategies in multi-agent environments. Moreover, the proposed EC framework offers valuable insights into the interplay between strategic decision making, adaptive learning, and LLM-informed guidance in complex, evolving systems. This research not only responds to the current challenges faced in modeling MASs, but also paves the way for future research in this rapidly developing field.;;;;;;;;;;;;;;;;;;;;;;;;JUN;2023;12;12;;;;;;;2722;10.3390/electronics12122722;http://dx.doi.org/10.3390/electronics12122722;;;19;;;"Computer Science; Engineering; Physics";;;Green Submitted, gold;;;;WOS:001016969200001;View Full Record in Web of Science
C;"Sun, HR; Wu, YS; Cheng, YK; Chu, X";;Kwok, J;;"Sun, Haoran; Wu, Yusen; Cheng, Yukun; Chu, Xu";;;Game Theory Meets Large Language Models: A Systematic Survey;PROCEEDINGS OF THE THIRTY-FOURTH INTERNATIONAL JOINT CONFERENCE ON ARTIFICIAL INTELLIGENCE (IJCAI 2025);;;English;Proceedings Paper;34th International Joint Conference on Artificial Intelligence-IJCAI;AUG 16-22, 2025;Montreal, CANADA;;;;;"Game theory establishes a fundamental framework for analyzing strategic interactions among rational decision-makers. The rapid advancement of large language models (LLMs) has sparked extensive research exploring the intersection of these two fields. Specifically, game-theoretic methods are being applied to evaluate and enhance LLM capabilities, while LLMs themselves are reshaping classic game models. This paper presents a comprehensive survey of the intersection of these fields, exploring a bidirectional relationship from three perspectives: (1) Establishing standardized game-based benchmarks for evaluating LLM behavior; (2) Leveraging gametheoretic methods to improve LLM performance through algorithmic innovations; (3) Characterizing the societal impacts of LLMs through game modeling. Among these three aspects, we also highlight how the equilibrium analysis for traditional game models is impacted by LLMs' advanced language understanding, which in turn extends the study of game theory. Finally, we identify key challenges and future research directions, assessing their feasibility based on the current state of the field. By bridging theoretical rigor with emerging AI capabilities, this survey aims to foster interdisciplinary collaboration and drive progress in this evolving research area.";;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;10669;10677;;;;;;9;;;Computer Science;;;;;;;WOS:001634925300540;View Full Record in Web of Science
C;"Xia, T; He, ZW; Ren, T; Miao, YB; Zhang, ZS; Yang, Y; Wang, R";;"Martins, A; Srikumar, V; Ku, LW";;"Xia, Tian; He, Zhiwei; Ren, Tong; Miao, Yibo; Zhang, Zhuosheng; Yang, Yang; Wang, Rui";;;Measuring Bargaining Abilities of LLMs: A Benchmark and A Buyer-Enhancement Method;FINDINGS OF THE ASSOCIATION FOR COMPUTATIONAL LINGUISTICS: ACL 2024;;;English;Proceedings Paper;62nd Annual Meeting of the Association-for-Computational-Linguistics (ACL) / Student Research Workshop (SRW);AUG 11-16, 2024;Bangkok, THAILAND;;;;;Bargaining is an important and unique part of negotiation between humans. As LLM-driven agents learn to negotiate and act like real humans, how to evaluate agents' bargaining abilities remains an open problem. For the first time, we formally described the Bargaining task as an asymmetric incomplete information game, defining the gains of the Buyer and Seller in multiple bargaining processes. It allows us to quantitatively assess an agent's performance in the Bargain task. We collected a real product price dataset, AmazonHistoryPrice, and conducted evaluations of various LLM agents' bargaining abilities(1). We find that playing a Buyer is much harder than a Seller, and increasing model size can not effectively improve the Buyer's performance. To address the challenge, we propose a novel approach called OG-Narrator that integrates a deterministic Offer Generator to control the price range of Buyer's offers, and an LLM Narrator to create natural language sentences for generated offers. Experimental results show that OG-Narrator improves the buyer's deal rates from 26.67% to 88.88% and brings a ten times multiplication of profits on all baselines, even a model that has not been aligned.;;;;;;;;;;;;;;;;;;;;;;;;;2024;;;;;;;3579;3602;;;;;;24;;;Computer Science;;;;;;;WOS:001356731803046;View Full Record in Web of Science
C;"Ye, XP; Xu, C; Sun, ZX; Xu, J; Wang, G; Dong, ZH; Wen, JR";;;ACM;"Ye, Xiaopeng; Xu, Chen; Sun, Zhongxiang; Xu, Jun; Wang, Gang; Dong, Zhenhua; Wen, Ji-Rong";;;LLM-Empowered Creator Simulation for Long-Term Evaluation of Recommender Systems Under Information Asymmetry;PROCEEDINGS OF THE 48TH INTERNATIONAL ACM SIGIR CONFERENCE ON RESEARCH AND DEVELOPMENT IN INFORMATION RETRIEVAL, SIGIR 2025;;;English;Proceedings Paper;48th Conference on Research and Development in Information Retrieval-RDIR;JUL 13-18, 2025;ITALY;;;"Long-term Evaluation; Content Creator; Information Asymmetry; LLM-empowered Agent";;Maintaining the long-term sustainability of recommender systems (RS) is crucial. Traditional RS evaluation methods primarily focus on the user's immediate feedback (e.g., click), however, they often overlook the long-term effect involved by the content creators. In the real world, content creators can strategically create and upload new items to the platform by analyzing users' feedback and preference trends. Although previous studies have attempted to model creator behaviors, they often overlook that such behaviors are under conditions of information asymmetry. This asymmetry arises because creators mainly access the user feedback on the items they produce, while the platform has access to the full spectrum of feedback data. However, existing RS simulators often fail to consider such a condition, making the long-term RS evaluation inaccurate. To bridge this gap, we propose a Large Language Model (LLM)empowered creator simulation agent named CreAgent. By utilizing the belief mechanism from game theory and the fast-and-slowthinking framework, we can simulate the creator's behaviors well under information asymmetry. Furthermore, to enhance CreAgent's simulation ability, we utilize Proximal Policy Optimization to fine-tune CreAgent. Our credibility validation experiments demonstrate that our simulation environment effectively aligns with the behaviors of real-world platforms and creators, thereby enhancing the reliability of long-term evaluations in RS. Furthermore, leveraging this simulator, we can examine whether RS algorithms, such as fairnessand diversity-aware methods, contribute to improving long-term performance for different stakeholders.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;201;211;;10.1145/3726302.3730026;http://dx.doi.org/10.1145/3726302.3730026;;;11;;;Computer Science;;;gold;;;;WOS:001587983900022;View Full Record in Web of Science
J;"Alekseenko, I; Dagaev, D; Paklina, S; Parshakov, P";;;;"Alekseenko, Iuliia; Dagaev, Dmitry; Paklina, Sofiia; Parshakov, Petr";;;Strategizing with AI: Insights from a beauty contest experiment;JOURNAL OF ECONOMIC BEHAVIOR & ORGANIZATION;;;English;Article;;;;;;"p -beauty contest; Guess the number; Dominant strategy; AI; LLM";"COGNITIVE-ABILITY; GAME; BEHAVIOR; CHESS";A p-beauty contest is a wide class of games of guessing the most popular strategy among other players. In particular, guessing a fraction of a mean of numbers chosen by all players is a classic behavioral experiment designed to test iterative reasoning patterns among various groups of people. The previous literature reveals that the level of sophistication of the opponents is an important factor affecting the outcome of the game. Smarter decision makers choose strategies that are closer to theoretical Nash equilibrium and demonstrate faster convergence to equilibrium in iterated contests with information revelation. We replicate a series of classic experiments by running virtual experiments with large language models (LLMs) who play against various groups of virtual players. Our results show that LLMs recognize the strategic context of the game and demonstrate expected adaptability to the changing set of parameters. LLMs systematically behave in a more sophisticated way compared to the participants of the original experiments. All LLMs still fail to identify dominant strategies in a two-player game. Our results contribute to the discussion on the accuracy of modeling human economic agents by artificial intelligence.;;;;;;;;;;;;;;;;;;;;;;;;DEC;2025;240;;;;;;;;107330;10.1016/j.jebo.2025.107330;http://dx.doi.org/10.1016/j.jebo.2025.107330;;NOV 2025;14;;;Business & Economics;;;;;;;WOS:001629571300001;View Full Record in Web of Science
C;"Yang, YX; Peng, QY; Wang, J; Wen, Y; Zhang, WN";;;ACM;"Yang, Yingxuan; Peng, Qiuying; Wang, Jun; Wen, Ying; Zhang, Weinan";;;Unlocking the Potential of Decentralized LLM-based MAS: Privacy Preservation and Monetization in Collective Intelligence;PROCEEDINGS OF THE 24TH INTERNATIONAL CONFERENCE ON AUTONOMOUS AGENTS AND MULTIAGENT SYSTEMS, AAMAS 2025;;;English;Proceedings Paper;24th International Conference on Autonomous Agents and Multiagent Systems-AAMAS-Annual;MAY 19-23, 2025;Detroit, MI;;;"LLM-based MAS; LLM; data privacy; monetization";;Recent advances in large language models (LLMs) have enabled the development of LLM agents-autonomous systems capable of perceiving their environment, reasoning about tasks, and taking actions using external tools. While existing LLM-based Multi-Agent Systems (LaMAS) have shown promising results, they are predominantly centralized, operating within specific tasks or scenarios. These centralized designs simplify coordination but are fundamentally constrained by the limited data and knowledge available within a single entity. As LLM agents see broader deployment, the complexity of tasks increasingly requires collaboration across multiple organizations and data domains. Since organizations cannot and will not fully share their proprietary data, the next frontier of artificial intelligence lies in collective intelligence through decentralized LLM-based Multi-Agent Systems (LaMAS), where LLM agents, each accessing proprietary knowledge and tools, collaborate to solve complex tasks. This paradigm is becoming not just possible but necessary with the growing adoption of LLM agents across diverse organizations. This paper explores the transformative potential of decentralized LaMAS. In decentralized settings, two key issues arise: (1) privacy-preserving mechanisms that enable meaningful collaboration while safeguarding proprietary data and knowledge, and (2) monetization and credit attribution mechanisms that incentivize continuous improvement of agent capabilities and ensure fair value distribution among participants. Our analysis reveals that addressing these challenges can unlock a new paradigm of artificial collective intelligence that overcomes the limitations. This work contributes to decentralized AI by proposing a practical framework for mechanism design that advances both technological innovation and economic sustainability in decentralized LLM Agent networks.;;;;;;;;;;;;;;;;;;;;;;;;;2025;;;;;;;2896;2900;;;;;;5;;;"Automation & Control Systems; Computer Science; Robotics";;;;;;;WOS:001532048100420;View Full Record in Web of Science
J;"Zhang, HW; Li, PC; Dai, MH; Wu, Y; Qian, LP";;;;"Zhang, Hanwen; Li, Peichun; Dai, Minghui; Wu, Yuan; Qian, Liping";;;Efficient Federated Learning With Quality-Aware Generated Models: An Incentive Mechanism;IEEE INTERNET OF THINGS JOURNAL;;;English;Article;;;;;;"Training; Data models; Biological system modeling; Diffusion models; Costs; Artificial intelligence; Accuracy; Data compensation; federated learning (FL); generative artificial intelligence (AI); incentive mechanism";;Federated learning (FL) encounters slow convergence due to data heterogeneity issues. Recently, generative artificial intelligence (AI) has showcased remarkable capabilities in synthesizing realistic data. To effectively address the challenges of nonindependent and identically distributed (non-IID) data, this article introduces a collaborative AI training framework that leverages generative AI to enhance the learning performance of FL. In this framework, heterogeneous edge devices (HEDs) identify specific data categories lacking in their local data sets and acquire these data from generative AI providers (GAPs). This strategy aims to improve the convergence rate of FL. However, HEDs and GAPs may be reluctant to contribute their resources to FL training due to self-interest. Therefore, an incentive mechanism is necessary to encourage their participation. We propose a reverse auction model to facilitate data transactions among FL training buyers, GAPs, and HEDs within the FL training buyer's budget. It focuses on determining winners and devising payment rules to maximize the FL training buyer's utility. This involves solving a 0-1 programming problem with two sellers (GAPs and HEDs). To tackle this, we use joint bidding and virtual seller pairs for analysis. We demonstrate that our method ensures truthfulness, individual rationality, and computational efficiency. Furthermore, we employ a one-side matching mechanism to approximate the optimal solution. We further investigate a strategy to analyze and allocate data based on variance, aiming to minimize non-IID issues in local data. Simulation results demonstrate that our proposed matching mechanism can effectively improve the computational efficiency, with the test accuracy differing from the theoretical optimum by only about 0.7%, and our mechanism can outperform the other greedy algorithms. Additionally, our data allocation strategy enhances the test accuracy by approximately 7% compared to existing methods.;;;;;;;;;;;;;;;;;;;;;;;;JAN 15;2025;12;2;;;;;1628;1642;;10.1109/JIOT.2024.3461329;http://dx.doi.org/10.1109/JIOT.2024.3461329;;;15;;;"Computer Science; Engineering; Telecommunications";;;;;;;WOS:001395617300034;View Full Record in Web of Science
