"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","DOI","Link","Abstract","Author Keywords","Index Keywords","Sponsors","Conference name","Conference date","Conference location","Conference code","Language of Original Document","Document Type","Publication Stage","Open Access","Source"
"Fan C.; Chen J.; Jin Y.; He H.","Fan, Caoyun (57224500636); Chen, Jindou (57488679700); Jin, Yaohui (58637202300); He, Hao (55214927000)","57224500636; 57488679700; 58637202300; 55214927000","Can Large Language Models Serve as Rational Players in Game Theory? A Systematic Analysis","2024","Proceedings of the AAAI Conference on Artificial Intelligence","38","16","","17960","17967","10.1609/aaai.v38i16.29751","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180300663&doi=10.1609%2Faaai.v38i16.29751&partnerID=40&md5=28297e69476e834b806fcd7ac1ce9862","Game theory, as an analytical tool, is frequently utilized to analyze human behavior in social science research. With the high alignment between the behavior of Large Language Models (LLMs) and humans, a promising research direction is to employ LLMs as substitutes for humans in game experiments, enabling social science research. However, despite numerous empirical researches on the combination of LLMs and game theory, the capability boundaries of LLMs in game theory remain unclear. In this research, we endeavor to systematically analyze LLMs in the context of game theory. Specifically, rationality, as the fundamental principle of game theory, serves as the metric for evaluating players’ behavior — building a clear desire, refining belief about uncertainty, and taking optimal actions. Accordingly, we select three classical games (dictator game, Rock-Paper-Scissors, and ring-network game) to analyze to what extent LLMs can achieve rationality in these three aspects. The experimental results indicate that even the current state-of-the-art LLM (GPT-4) exhibits substantial disparities compared to humans in game theory. For instance, LLMs struggle to build desires based on uncommon preferences, fail to refine belief from many simple patterns, and may overlook or modify refined belief when taking actions. Therefore, we consider that introducing LLMs into game experiments in the field of social science should be approached with greater caution. Copyright © 2024, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","","Behavioral research; Computational linguistics; Computer games; Analytical tool; Empirical research; Fundamental principles; Human behaviors; Language games; Language model; Player behavior; Rational players; Social science research; Systematic analysis; Game theory","Association for the Advancement of Artificial Intelligence","38th AAAI Conference on Artificial Intelligence, AAAI 2024","20 February 2024 through 27 February 2024","Vancouver","198370","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus"
"Lv Y.; Yang J.; Sun X.; Wu H.","Lv, Yali (57213543794); Yang, Jian (57091208300); Sun, Xiaoning (57193139156); Wu, Huafei (59559896200)","57213543794; 57091208300; 57193139156; 59559896200","Evolutionary game analysis of stakeholder privacy management in the AIGC model","2025","Operations Research Perspectives","14","","100327","","","10.1016/j.orp.2025.100327","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217918133&doi=10.1016%2Fj.orp.2025.100327&partnerID=40&md5=1964c22fb783758a3ecaca0ac641dcad","The technological development powered by Artificial Intelligence Generated Content (AIGC) models, exemplified by Generative Pre-trained Transformer 4 (GPT-4) and Bidirectional Encoder Representations from Transformers (BERT), has completely transformed machine language processing and fostered substantial technological advancements. However, their extensive deployment has amplified concerns regarding data privacy risks, which are attributed not only to technological vulnerabilities but also to the intricate conflicts of interest among model providers, application service providers, and privacy regulators. To tackle this challenge, this research develops a tripartite evolutionary game model that examines the strategic interactions and dynamic relationships among large language model providers, application service providers, and privacy regulatory agencies. By employing replicator dynamic equations and Jacobian matrices, the research investigates the stability of strategic equilibria and simulates optimal adjustment paths across diverse policy scenarios. Drawing on the research findings, this paper offers practical recommendations to strengthen data privacy protection in large language models, delivering a solid theoretical foundation for policymakers and industry practitioners. © 2025","AIGC; Data privacy; Evolutionary game; Replicator dynamic equations","","","","","","","English","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Mouri Zadeh Khaki A.; Choi A.; Seyyed-Kalantari L.","Mouri Zadeh Khaki, Ahmad (59505780900); Choi, Ahyoung (57193550851); Seyyed-Kalantari, Laleh (57196222922)","59505780900; 57193550851; 57196222922","Simulating Social Behavior of LLM-Based Autonomous Negotiator Agents in a Game-Theoretical Framework Using Multi-Agent Systems","2025","International Journal of Human-Computer Interaction","41","23","","15169","15178","10.1080/10447318.2025.2495117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005522808&doi=10.1080%2F10447318.2025.2495117&partnerID=40&md5=764b04fd3a45090216a3829bf68be7d2","Simulation is a widely used approach for evaluating system performance, robustness, and potential issues during design and testing. Large Language Models (LLMs) have recently shown strong potential in autonomous agent systems, including negotiation tasks—a core aspect of commerce. This paper evaluates LLM-based autonomous negotiator agents (LANAs) in a buyer-seller bargaining game to assess their decision-making and reasoning. We simulate interactions between agents embodying contrasting social behaviors: (a) Cunning vs. Kind, and (b) Greedy vs. Generous. By analyzing both the game outcomes and the agents’ internal reasoning, we find that LLMs can effectively simulate distinct social behaviors in both dialogue and decision-making. Our results offer insights into how social traits affect negotiation dynamics, emphasizing the importance of clear policy design to ensure fairness and reliability in LANA-based systems. © 2025 Taylor & Francis Group, LLC.","Decision-making; game theory; large language models; multi-agent systems; social behavior; strategic reasoning","Autonomous agents; Economic and social effects; Emotional intelligence; Risk perception; Social behavior; Social psychology; Decisions makings; Evaluating systems; Game-theoretical framework; Language model; Large language model; Model-based OPC; Multiagent systems (MASs); Social behaviour; Strategic reasoning; System robustness; Consumer behavior","","","","","","English","Article","Final","","Scopus"
"Tamer O.A.; Gümüş A.","Tamer, Onat Arda (60197751300); Gümüş, Abdurrahman (35315599800)","60197751300; 35315599800","CollabPersona: A Framework for Collaborative Decision Analysis in Persona Driven LLM-Based Multi-Agent Systems","2025","IEEE International Workshop on Machine Learning for Signal Processing, MLSP","","","","","","10.1109/MLSP62443.2025.11204223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022136570&doi=10.1109%2FMLSP62443.2025.11204223&partnerID=40&md5=e718990add4372718d5a0a6418a0822b","Large Language Model (LLM) agents have recently demonstrated impressive capabilities in single agent and adversarial settings, but their ability to collaborate effectively with minimal communication remains uncertain. We introduce CollabPersona, a simulation framework that combines persona-grounded memory with one-shot feedback to study team-based reasoning among LLM agents. In a multi-round variant of the Guess 0.8 of the Average game, agents reason entirely through structured prompts without fine-tuning. Our results show that minimal feedback significantly improves intra-team coordination and stabilizes strategic behavior, while cognitive style remains a primary driver of competitive outcomes. These findings suggest that lightweight scaffolding can elicit emergent collaboration in LLM agents and provide a flexible platform for studying cooperative intelligence.  © 2025 IEEE.","Collaborative Reasoning; Game Theory; Large Language Models; Multi-Agent Systems; Persona-Based Agents","Behavioral research; Computational methods; Decision theory; Distributed computer systems; Feedback; Human resource management; Intelligent agents; Multi agent systems; Collaborative decisions; Collaborative reasonings; Language model; Large language model; Model agents; Model-based OPC; Multiagent systems (MASs); Persona-based agent; Simulation framework; Single-agent; Game theory","Adobe; Data Force; et al.; Huawei; Machine Learning for Signal Processing (MLSP) Technical Committee of the IEEE Signal Processing Society; Openzeka","35th IEEE International Workshop on Machine Learning for Signal Processing, MLSP 2025","31 August 2025 through 3 September 2025","Istanbul","214260","English","Conference paper","Final","","Scopus"
"Wang H.; Zhao S.; Wang J.; Qiang Z.; Qin B.; Liu T.","Wang, Haochun (57899997800); Zhao, Sendong (55446331700); Wang, Jingbo (58747608700); Qiang, Zewen (58251684000); Qin, Bing (8575883100); Liu, Ting (57199476645)","57899997800; 55446331700; 58747608700; 58251684000; 8575883100; 57199476645","Beyond Frameworks: Unpacking Collaboration Strategies in Multi-Agent Systems","2025","Proceedings of the Annual Meeting of the Association for Computational Linguistics","1","","","21361","21375","10.18653/v1/2025.acl-long.1037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021009139&doi=10.18653%2Fv1%2F2025.acl-long.1037&partnerID=40&md5=13acd25a66f35962da5f037a6d74135a","Multi-agent collaboration has emerged as a pivotal paradigm for addressing complex, distributed tasks in large language model (LLM)driven applications. While prior research has focused on high-level architectural frameworks, the granular mechanisms governing agents, critical to performance and scalability, remain underexplored. This study systematically investigates four dimensions of collaboration strategies: (1) agent governance, (2) participation control, (3) interaction dynamics, and (4) dialogue history management. Through rigorous experimentation under two context-dependent scenarios: Distributed Evidence Integration (DEI) and Structured Evidence Synthesis (SES), we quantify the impact of these strategies on both task accuracy and computational efficiency. Our findings reveal that centralized governance, instructor-led participation, ordered interaction patterns, and instructor-curated context summarization collectively optimize the trade-off between decision quality and resource utilization with the support of the proposed Token-Accuracy Ratio (TAR). This work establishes a foundation for designing adaptive, scalable multi-agent systems, shifting the focus from structural novelty to strategic interaction mechanics. © 2025 Association for Computational Linguistics.","","Computational efficiency; Computational linguistics; Intelligent agents; Multi agent systems; Agent collaboration; Architectural frameworks; Distributed tasks; Four dimensions; Granular mechanisms; Language model; Model-driven; Multi agent; Multiagent systems (MASs); Performance and scalabilities; Economic and social effects","Alibaba Cloud; Ant Group; Bloomberg Engineering; Citadel Securities","63rd Annual Meeting of the Association for Computational Linguistics, ACL 2025","27 July 2025 through 1 August 2025","Vienna","213612","English","Conference paper","Final","","Scopus"
"Liu S.; Gemp I.; Marris L.; Piliouras G.; Heess N.; Lanctot M.","Liu, Siqi (57204572082); Gemp, Ian (36082211900); Marris, Luke (57208440775); Piliouras, Georgios (35113645700); Heess, Nicolas (36450421000); Lanctot, Marc (56522887100)","57204572082; 36082211900; 57208440775; 35113645700; 36450421000; 56522887100","RE-EVALUATING OPEN-ENDED EVALUATION OF LARGE LANGUAGE MODELS","2025","13th International Conference on Learning Representations, ICLR 2025","","","","51077","51104","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010277265&partnerID=40&md5=3b922653ed5183eb93f07c0a356ff7cb","Evaluation has traditionally focused on ranking candidates for a specific skill. Modern generalist models, such as Large Language Models (LLMs), decidedly outpace this paradigm. Open-ended evaluation systems, where candidate models are compared on user-submitted prompts, have emerged as a popular solution. Despite their many advantages, we show that the current Elo-based rating systems can be susceptible to and even reinforce biases in data, intentional or accidental, due to their sensitivity to redundancies. To address this issue, we propose evaluation as a 3-player game, and introduce novel game-theoretic solution concepts to ensure robustness to redundancy. We show that our method leads to intuitive ratings and provide insights into the competitive landscape of LLM development. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.","","'current; Candidate models; Game-theoretic; Language model; Model development; Rating system; Solution concepts; Game theory","","13th International Conference on Learning Representations, ICLR 2025","24 April 2025 through 28 April 2025","Singapore","209472","English","Conference paper","Final","","Scopus"
"Feng J.; Ning Y.; Wang Z.; Li G.; Xiu Xu S.","Feng, Jianghong (57218395456); Ning, Yu (57195529316); Wang, Zhaohua (57192245952); Li, Guo (7407055832); Xiu Xu, Su (35773963700)","57218395456; 57195529316; 57192245952; 7407055832; 35773963700","ChatGPT-enabled two-stage auctions for electric vehicle battery recycling","2024","Transportation Research Part E: Logistics and Transportation Review","183","","103453","","","10.1016/j.tre.2024.103453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184818998&doi=10.1016%2Fj.tre.2024.103453&partnerID=40&md5=3bddda6e59493ac8728fd1d7002b91c0","The primary objective of this study is to create an advanced management system that seamlessly integrates ChatGPT, an intelligent chatbot, with a cutting-edge two-stage auctions model. This integration aims to optimize the recycling process of electric vehicle batteries, ensuring utmost efficiency. To gauge the effect of incorporating ChatGPT on participants' values, we introduce technology coefficient parameters, providing a deeper understanding of its impact. In the initial phase of the auction, a sophisticated platform or an impartial third-party appraisal firm is employed. Their task is to collect vital attribute information from potential sellers regarding the waste batteries. Subsequently, this information is carefully matched with interested buyers. To determine the appropriate number of buyers both before and after the auction, we introduce two innovative matching mechanisms. We propose the implementation of a pioneering one-sided affine VCG (Vickrey-Clarke-Groves) auction, which portrays the affine externality of buyers to other buyers, along with a weighted generalized second-price auction. Additionally, we introduce a ground-breaking mechanism known as weighted multi-unit trade reduction. This inventive process allows successful bidders from the first stage to actively participate in the subsequent auction. Within this paper, we develop auction allocation rules based on the interplay between winning sellers' supply and winning buyers' demand. The outcomes of our numerical studies demonstrate the efficacy of the two-stage auction method in addressing buyers' concerns regarding battery performance. Furthermore, we have found that the utilization of ChatGPT technology proves advantageous for both participants and the platform; if buyers have a positive affine externality on other buyers, then the platform's revenue will be reduced, while social welfare will increase. In the realm of incentive compatibility, individual rationality, and budget balancing, our proposed mechanism stands unwaveringly strong, having undergone rigorous scrutiny and demonstrating commendable performance in numerous numerical experiments. Lastly, we offer practical management insights for stakeholders in the battery recycling market. These invaluable insights are derived from our hands-on experience, providing a fresh perspective for industry managers. © 2024 Elsevier Ltd","Battery recycling; ChatGPT; Information matching; Mechanism design; Two-stage auctions","Budget control; Commerce; Machine design; Numerical methods; Sales; Battery recycling; Chatbots; ChatGPT; Electric vehicle batteries; Information matching; Management systems; Matchings; Mechanism design; Primary objective; Two-stage auction; artificial intelligence; design; electric vehicle; electronic waste; model; recycling; Recycling","","","","","","English","Article","Final","","Scopus"
"Willis R.; Du Y.; Leibo J.Z.","Willis, Richard (57357173600); Du, Yali (57196119744); Leibo, Joel Z. (57204365471)","57357173600; 57196119744; 57204365471","Will Systems of LLM Agents Lead to Cooperation: An Investigation into a Social Dilemma Extended Abstract","2025","Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS","","","","2786","2788","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009775821&partnerID=40&md5=682eb9e667aca28e38c31369adcfb8f3","This study investigates the emergent cooperative tendencies of systems of Large Language Model (LLM) agents in a social dilemma. Unlike previous research, where LLMs output individual actions, we prompt state-of-the-art LLMs to generate complete strategies for iterated Prisoner's Dilemma. Our findings reveal that LLMs exhibit biases when prompted to display certain behavioural dispositions, and the format of the prompt affects the relative success of aggressive versus cooperative strategies. © 2025 International Foundation for Autonomous Agents and Multiagent Systems (www.ifaamas.org).","Emergent Behaviour; Game Theory; Multiagent System","Autonomous agents; Behavioral research; Multi agent systems; Cooperative strategy; Emergent behaviours; Extended abstracts; Iterated prisoner dilemmas; Language model; Model agents; Multi agent; Social dilemmas; State of the art; Game theory","Artificial Intelligence; Cooperative AI; DeepMind; et al.; Jane Street; Visit Detroit","24th International Conference on Autonomous Agents and Multiagent Systems, AAMAS 2025","19 May 2025 through 23 May 2025","Detroit","209812","English","Conference paper","Final","","Scopus"
"Munos R.; Valko M.; Calandriello D.; Azar M.G.; Rowland M.; Guo D.; Tang Y.; Geist M.; Mesnard T.; Fiegel C.; Michi A.; Selvi M.; Girgin S.; Momchev N.; Bachem O.; Mankowitz D.J.; Precup D.; Piot B.","Munos, Rémi (6603222926); Valko, Michal (25642222500); Calandriello, Daniele (55737371500); Azar, Mohammad Gheshlaghi (55252404300); Rowland, Mark (57191058027); Guo, Daniel (57193487290); Tang, Yunhao (57218132694); Geist, Matthieu (25929145100); Mesnard, Thomas (57193401550); Fiegel, Côme (58040835300); Michi, Andrea (57214240771); Selvi, Marco (58305697900); Girgin, Sertan (15925585500); Momchev, Nikola (57219584372); Bachem, Olivier (55916070200); Mankowitz, Daniel J. (56461381500); Precup, Doina (6603288659); Piot, Bilal (55697434100)","6603222926; 25642222500; 55737371500; 55252404300; 57191058027; 57193487290; 57218132694; 25929145100; 57193401550; 58040835300; 57214240771; 58305697900; 15925585500; 57219584372; 55916070200; 56461381500; 6603288659; 55697434100","Nash Learning from Human Feedback","2024","Proceedings of Machine Learning Research","235","","","36743","36768","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203818700&partnerID=40&md5=39a08d20514b92d2eb6a2c193931698f","Reinforcement learning from human feedback (RLHF) has emerged as the main paradigm for aligning large language models (LLMs) with human preferences. Traditionally, RLHF involves the initial step of learning a reward model from pairwise human feedback, i.e., expressed as preferences between pairs of text generations. Subsequently, the LLM's policy is fine-tuned to maximize the reward through a reinforcement learning algorithm. In this study, we introduce an alternative pipeline for the fine-tuning of LLMs using pairwise human feedback. Our approach entails the initial learning of a pairwise preference model, which is conditioned on two inputs (instead of a single input in the case of a reward model) given a prompt, followed by the pursuit of a policy that consistently generates responses preferred over those generated by any competing policy, thus defining the Nash equilibrium of this preference model. We term this approach Nash learning from human feedback (NLHF). In the context of a tabular policy representation, we present a novel algorithmic solution, Nash-MD, founded on the principles of mirror descent. This algorithm produces a sequence of policies, with the last iteration converging to the regularized Nash equilibrium. Additionally, we explore parametric representations of policies and introduce gradient descent algorithms for deep-learning architectures. We illustrate the effectiveness of our approach by presenting experimental results on a text summarization task. We believe NLHF offers a compelling avenue for fine-tuning LLMs and enhancing the alignment of LLMs with human preferences. Copyright 2024 by the author(s)","","Adversarial machine learning; Deep reinforcement learning; Federated learning; Reinforcement learning; Algorithmic solutions; Fine tuning; Language model; Nash equilibria; Parametric representations; Preference models; Reinforcement learning algorithms; Reinforcement learnings; Single input; Text generations; Contrastive Learning","","41st International Conference on Machine Learning, ICML 2024","21 July 2024 through 27 July 2024","Vienna","201670","English","Conference paper","Final","","Scopus"
"Xu K.; Chai J.; Li S.; Fu Y.; Zhu Y.; Zhao D.","Xu, Kaixuan (59343942200); Chai, Jiajun (57567685000); Li, Sicheng (59984591400); Fu, Yuqian (57222140904); Zhu, Yuanheng (55338700500); Zhao, Dongbin (59128843900)","59343942200; 57567685000; 59984591400; 57222140904; 55338700500; 59128843900","DipLLM: Fine-Tuning LLM for Strategic Decision-making in Diplomacy","2025","Proceedings of Machine Learning Research","267","","","69078","69095","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023636195&partnerID=40&md5=23496f13d31c4880068a3c99e6b21962","Diplomacy is a complex multiplayer game that requires both cooperation and competition, posing significant challenges for AI systems. Traditional methods rely on equilibrium search to generate extensive game data for training, which demands substantial computational resources. Large Language Models (LLMs) offer a promising alternative, leveraging pre-trained knowledge to achieve strong performance with relatively small-scale fine-tuning. However, applying LLMs to Diplomacy remains challenging due to the exponential growth of possible action combinations and the intricate strategic interactions among players. To address this challenge, we propose DipLLM, a fine-tuned LLM-based agent that learns equilibrium policies for Diplomacy. DipLLM employs an autoregressive factorization framework to simplify the complex task of multi-unit action assignment into a sequence of unit-level decisions. By defining an equilibrium policy within this framework as the learning objective, we fine-tune the model using only 1.5% of the data required by the state-of-the-art Cicero model, surpassing its performance. Our results demonstrate the potential of fine-tuned LLMs for tackling complex strategic decision-making in multiplayer games. © 2025 by the author(s).","","Knowledge management; Personnel training; Tuning; AI systems; Computational resources; Cooperation and competitions; Equilibrium policy; Fine tuning; Language model; Multiplayer games; Performance; Small scale; Strategic decision making; Decision making","","42nd International Conference on Machine Learning, ICML 2025","13 July 2025 through 19 July 2025","Vancouver","340759","English","Conference paper","Final","","Scopus"
"Li Z.; Zhang R.; Wang Z.; Xie Z.; Song Y.","Li, Zhemin (57219795869); Zhang, Ruobing (59479093100); Wang, Zhengming (56895602100); Xie, Zheng (8937022600); Song, Yiping (57001603600)","57219795869; 59479093100; 56895602100; 8937022600; 57001603600","LLM-guided decision-making toolkit for multi-agent reinforcement learning","2025","Neurocomputing","638","","130105","","","10.1016/j.neucom.2025.130105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002049872&doi=10.1016%2Fj.neucom.2025.130105&partnerID=40&md5=56743fa14138007d052c090b93992923","Complex cooperative game tasks pose significant challenges to decision making in multi-agent systems. Despite advancements in multi-agent reinforcement learning (MARL), these systems often struggle in the initial learning phase, known as the cold-start problem, where devising effective strategies from scratch is difficult. To address this, we leverage the advanced reasoning capabilities of Large Language Models (LLMs) by introducing prompt learning in complex cooperative games. In our approach, tensor-formatted environmental information is converted into natural language and fed into LLMs during early exploration stages in MARL algorithms. The strategic suggestions generated by LLMs, combined with trajectories from random exploration, form an experience pool for initial training. Our experiments demonstrate that this approach significantly enhances cooperation among agents in complex games and mitigates the cold-start issue. Notably, we have developed a toolkit compatible with the StarCraft Multi-Agent Challenge (SMAC) environment, providing seamless integration between SMAC APIs, LLMs, and MARL algorithms. This includes automated prompt generation for any map and alignment of natural language strategies with tensor-formatted data. In addition, considering the importance of effective communication for enhancing collaboration efficiency, our toolkit includes a robust communication module, which supports the training, testing, and visualization of communication algorithms. We provide the source code on GitHub at https://github.com/lizhemin18/pymarl_LLM. © 2025 Elsevier B.V.","Cold-start problem; LLM; MARL; SMAC","Adversarial machine learning; Contrastive Learning; Reinforcement learning; Cold start problems; Cooperative game; Decisions makings; Language model; Large language model; Multi agent; Multi-agent reinforcement learning; Natural languages; Reinforcement learning algorithms; Starcraft multi-agent challenge; algorithm; Article; communication software; decision making toolkit; environmental factor; information processing; large language model; network analysis; nonhuman; policy; problem behavior; reinforcement learning (machine learning); tool use; value decomposition network; Federated learning","","","","","","English","Article","Final","","Scopus"
"Avinash A.; Jain K.","Avinash, Alekh (59179558800); Jain, Kurunandan (57215744374)","59179558800; 57215744374","Evolving Strategies: LLMs as Game Players","2025","4th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2025 - Proceedings","","","","1009","1014","10.1109/ICSADL65848.2025.10933026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002456135&doi=10.1109%2FICSADL65848.2025.10933026&partnerID=40&md5=4260e1d88d9dae108927fe13664b4a04","Game-theoretic strategies in cybersecurity systems rely on predefined algorithms, but they often overlook two flaws: changing rewards over time and the ability of a rational player to induce losses. This paper explores the use of large language models (LLMs) as rational players, aiming to identify adaptive strategies that evolve over time.  © 2025 IEEE.","Game Theory; LLMs as Players; Two Player Tournament","Adaptive strategy; Cyber security; Game players; Game-theoretic; Language model; Large language model as player; Rational players; Two player tournament","","4th International Conference on Sentiment Analysis and Deep Learning, ICSADL 2025","18 February 2025 through 20 February 2025","Bhimdatta","207922","English","Conference paper","Final","","Scopus"
"Venkatasubramanian V.; Sanjeevrajan N.; Khandekar M.; Sivaram A.; Szczepanski C.","Venkatasubramanian, Venkat (7006834244); Sanjeevrajan, N. (58666492100); Khandekar, Manasi (58666408300); Sivaram, Abhishek (57204467745); Szczepanski, Collin (58489273500)","7006834244; 58666492100; 58666408300; 57204467745; 58489273500","Jaynes machine: The universal microstructure of deep neural networks","2025","Computers and Chemical Engineering","192","","108908","","","10.1016/j.compchemeng.2024.108908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208590283&doi=10.1016%2Fj.compchemeng.2024.108908&partnerID=40&md5=9bff3033f2da0ec4f88a6255d3fb18f4","Despite the recent stunning progress in large-scale deep neural network applications, our understanding of their microstructure, ‘energy’ functions, and optimal design remains incomplete. Here, we present a new game-theoretic framework, called statistical teleodynamics, that reveals important insights into these key properties. The optimally robust design of such networks inherently involves computational benefit–cost trade-offs that physics-inspired models do not adequately capture. These trade-offs occur as neurons and connections compete to increase their effective utilities under resource constraints during training. In a fully trained network, this results in a state of arbitrage equilibrium, where all neurons in a given layer have the same effective utility, and all connections to a given layer have the same effective utility. The equilibrium is characterized by the emergence of two lognormal distributions of connection weights and neuronal output as the universal microstructure of large deep neural networks. We call such a network the Jaynes Machine. Our theoretical predictions are shown to be supported by empirical data from seven large-scale deep neural networks. We also show that the Hopfield network and the Boltzmann Machine are the same special case of the Jaynes Machine. © 2024 The Authors","Arbitrage equilibrium; Boltzmann machine; Deep learning; Game theory; Hopfield networks; LLMs","Deep neural networks; Integrated circuit design; Multilayer neural networks; Neurons; Arbitrage equilibrium; Boltzmann machines; Deep learning; Energy functions; Function designs; Hopfield Networks; Large-scales; LLM; Neural network application; Neural-networks; Hopfield neural networks","","","","","","English","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus"
"Ye X.; Xu C.; Sun Z.; Xu J.; Wang G.; Dong Z.; Wen J.-R.","Ye, Xiaopeng (58546533100); Xu, Chen (57218843247); Sun, Zhongxiang (57817991400); Xu, Jun (57148828000); Wang, Gang (57221157420); Dong, Zhenhua (59445042900); Wen, Ji-Rong (59491716600)","58546533100; 57218843247; 57817991400; 57148828000; 57221157420; 59445042900; 59491716600","LLM-Empowered Creator Simulation for Long-Term Evaluation of Recommender Systems Under Information Asymmetry","2025","SIGIR 2025 - Proceedings of the 48th International ACM SIGIR Conference on Research and Development in Information Retrieval","","","","201","211","10.1145/3726302.3730026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011828570&doi=10.1145%2F3726302.3730026&partnerID=40&md5=0672fe0227f65b361a69894beb7e291a","Maintaining the long-term sustainability of recommender systems (RS) is crucial. Traditional RS evaluation methods primarily focus on the user’s immediate feedback (e.g., click), however, they often overlook the long-term effect involved by the content creators. In the real world, content creators can strategically create and upload new items to the platform by analyzing users’ feedback and preference trends. Although previous studies have attempted to model creator behaviors, they often overlook that such behaviors are under conditions of information asymmetry. This asymmetry arises because creators mainly access the user feedback on the items they produce, while the platform has access to the full spectrum of feedback data. However, existing RS simulators often fail to consider such a condition, making the long-term RS evaluation inaccurate. To bridge this gap, we propose a Large Language Model (LLM)empowered creator simulation agent named CreAgent. By utilizing the belief mechanism from game theory and the fast-and-slow thinking framework, we can simulate the creator’s behaviors well under information asymmetry. Furthermore, to enhance CreAgent’s simulation ability, we utilize Proximal Policy Optimization to fine-tune CreAgent. Our credibility validation experiments demonstrate that our simulation environment effectively aligns with the behaviors of real-world platforms and creators, thereby enhancing the reliability of long-term evaluations in RS. Furthermore, leveraging this simulator, we can examine whether RS algorithms, such as fairness- and diversity-aware methods, contribute to improving long-term performance for different stakeholders. © 2025 Copyright held by the owner/author(s).","Content Creator; Information Asymmetry; LLM-empowered Agent; Long-term Evaluation","Behavioral research; Human computer interaction; Intelligent agents; Interactive computer graphics; Recommender systems; Simulation platform; Condition; Content creators; Information asymmetry; Language model; Large language model-empowered agent; Long-term evaluation; Long-term sustainability; Real-world; System evaluation; User feedback; Game theory","ACM SIGIR","48th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2025","13 July 2025 through 18 July 2025","Padua","210356","English","Conference paper","Final","All Open Access; Gold Open Access","Scopus"
"Mao S.; Cai Y.; Xia Y.; Wu W.; Wang X.; Wang F.; Guan Q.; Ge T.; Wei F.","Mao, Shaoguang (57197769429); Cai, Yuzhe (58261728100); Xia, Yan (57259631700); Wu, Wenshan (58262221500); Wang, Xun (57401893700); Wang, Fengyi (58723775400); Guan, Qiang (21934315400); Ge, Tao (55953962900); Wei, Furu (23995914700)","57197769429; 58261728100; 57259631700; 58262221500; 57401893700; 58723775400; 21934315400; 55953962900; 23995914700","ALYMPICS: LLM Agents Meet Game Theory","2025","Proceedings - International Conference on Computational Linguistics, COLING","","","","2845","2866","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218497118&partnerID=40&md5=8793af2916b5f431d34daef94e3455c7","Game theory is a branch of mathematics that studies strategic interactions among rational agents. We propose Alympics (Olympics for Agents), a systematic framework utilizing Large Language Model (LLM) agents for empirical game theory research. Alympics creates a versatile platform for studying complex game theory problems, bridging the gap between theoretical game theory and empirical investigations by providing a controlled environment for simulating human-like strategic interactions with LLM agents. In our pilot case study, the “Water Allocation Challenge”, we explore Alympics through a challenging strategic game focused on the multi-round auction of scarce survival resources. This study demonstrates the framework's ability to qualitatively and quantitatively analyze game determinants, strategies, and outcomes. Additionally, we conduct a comprehensive human assessment and an in-depth evaluation of LLM agents in rational strategic decision-making scenarios. Our findings highlight LLM agents' potential to advance game theory knowledge and expand the understanding of their proficiency in emulating human strategic behavior. Codes, prompts, and all related resources are available at ALYMPICS. © 2025 Association for Computational Linguistics.","","Computational linguistics; Decision making; Case-studies; Controlled environment; Empirical investigation; Human like; Language model; Model agents; Olympics; Rational agents; Strategic interactions; Systematic framework; Game theory","Baidu; Google; Inception; Technology Innovation Institute (TII); Toloka","31st International Conference on Computational Linguistics, COLING 2025","19 January 2025 through 24 January 2025","Abu Dhabi","206484","English","Conference paper","Final","","Scopus"
